id,Score,Start Date,Popularity,index,x,y,vy,vx,size
Berserk,9.47,1989,643969,0,464.9056604,140,-7.87E-19,-3.15E-18,643969
Fullmetal Alchemist,9.03,2001,284027,1,650.0122487,334.9750753,-4.54993E-06,-1.84491E-06,284027
Vagabond,9.24,1998,350026,2,604.1509434,246.3846154,-2.36E-18,-6.30E-18,350026
Vinland Saga,9.05,2005,282711,3,713.2894583,319.0492308,-5.74871E-06,2.34129E-06,282711
Kaguya-sama: Love Is War,8.92,2015,256755,4,872.9146234,379.7954138,-4.3829E-06,2.82E-07,256755
Chainsaw Man,8.75,2018,569114,5,918.7429741,467.1203145,2.88061E-05,-8.33E-07,569114
Monster,9.15,1994,228361,6,542.2641509,288.0133779,-6.30E-18,-6.30E-18,228361
A Silent Voice,8.86,2013,260905,7,849.9968804,438.5764054,1.59032E-05,1.31E-08,260905
20th Century Boys,8.95,1999,236837,8,618.6183072,389.8113565,5.76457E-06,-2.50E-07,236837
Haikyu!!,8.84,2012,207367,9,790.9879124,424.1830656,-7.38533E-06,-8.85112E-06,207367
Slam Dunk,9.08,1990,157962,10,480.3773585,320.3913043,-3.15E-18,-6.30E-18,157962
GTO: Great Teacher Onizuka,8.89,1996,160614,11,565.6968894,411.3403239,7.06E-07,-2.46264E-06,160614
Kingdom,9,2006,161094,12,735.7709106,373.8395619,6.7994E-06,1.7665E-06,161094
Attack on Titan,8.55,2009,635373,13,772.3238246,570.7787502,-3.47897E-06,-3.25589E-05,635373
Yotsuba&!,8.88,2003,146934,14,681.509434,412.8996656,1.57E-18,-6.30E-18,146934
Nana,8.79,2000,129733,15,637.4680514,452.1207574,-3.20417E-06,3.67889E-06,129733
Blue Lock,8.55,2018,151572,16,907.959101,582.4504951,2.1092E-05,-2.71031E-06,151572
Fruits Basket,8.52,1998,139310,17,604.1509434,579.4147157,-6.30E-18,-1.26E-17,139310
Akira,8.68,1982,125463,18,356.6037736,505.4080268,-6.30E-18,-1.57E-18,125463
Mob Psycho 100,8.61,2012,110955,19,831.7847808,537.2688119,-0.000107836,-3.60397E-05,110955
Pluto: Urasawa x Tezuka,8.62,2003,111047,20,676.9923364,531.2120011,2.09262E-05,2.66411E-05,111047
